a20,a21,a08,a09,a24,a25,a26,a27,a02,a03,a01,a06,a07,a04,a05,a23,a33,a34,a28,a29,a32,a15,a14,a17,a16,a11,a10,a13,a12,a19,a18,a31,a22,a30,class
-0.90693_to_0.975495,0.99888_to_inf,0.001505_to_0.994515,0.05561_to_inf,-0.987455_to_0.89747,0.999495_to_inf,-0.98148_to_0.80245,0.999945_to_inf,All,0.998505_to_inf,0.5_to_inf,0.00101_to_0.953815,0.999995_to_inf,0.007725_to_0.74685,0.97434_to_inf,0.999665_to_inf,0.994855_to_inf,0.003785_to_0.95098,-0.96648_to_0.86022,0.997_to_inf,-0.969765_to_0.87076,0.99914_to_inf,-0.554585_to_0.652535,All,0.00143_to_0.96841,0.9991_to_inf,-0.57299_to_0.591395,0.998725_to_inf,0.001845_to_0.981525,All,-0.79667_to_0.99361,0.995285_to_inf,-0.96798_to_0.923655,-0.94837_to_0.930305,g
-0.90693_to_0.975495,-0.957365_to_-1.5e-05,0.001505_to_0.994515,0.05561_to_inf,-0.987455_to_0.89747,-inf_to_0.3303,-0.98148_to_0.80245,-inf_to_0.545945,All,-inf_to_0.19028,0.5_to_inf,-0.79531_to_-0.217515,0.999995_to_inf,-0.00017_to_0.007725,-inf_to_0.04144,-0.0092_to_0.18657,-0.959515_to_-4e-05,0.003785_to_0.95098,-0.96648_to_0.86022,-0.91183_to_-9e-05,0.87076_to_inf,0.99914_to_inf,-inf_to_-0.554585,All,-inf_to_-0.90517,-inf_to_0.478305,-0.57299_to_0.591395,0.01567_to_0.35474,-0.56293_to_-0.00027,All,-0.79667_to_0.99361,0.132415_to_0.995285,0.923655_to_inf,-0.94837_to_0.930305,b
-0.90693_to_0.975495,0.07206_to_0.99888,0.001505_to_0.994515,0.05561_to_inf,-0.987455_to_0.89747,0.3303_to_0.999495,-0.98148_to_0.80245,0.545945_to_0.999945,All,0.73947_to_0.998505,0.5_to_inf,-0.217515_to_-0.000715,0.037175_to_0.999995,0.007725_to_0.74685,0.418075_to_0.97434,0.18657_to_0.999665,0.000125_to_0.994855,0.003785_to_0.95098,-0.96648_to_0.86022,0.997_to_inf,-0.969765_to_0.87076,0.239955_to_0.99914,-0.554585_to_0.652535,All,-0.00197_to_0.00143,0.478305_to_0.9991,-0.57299_to_0.591395,0.35474_to_0.998725,0.001845_to_0.981525,All,-0.79667_to_0.99361,0.132415_to_0.995285,-0.96798_to_0.923655,-0.94837_to_0.930305,g
-0.90693_to_0.975495,-1.5e-05_to_0.07206,-0.000375_to_0.001505,-0.036395_to_0.05561,-0.987455_to_0.89747,-inf_to_0.3303,-0.98148_to_0.80245,-inf_to_0.545945,All,-inf_to_0.19028,0.5_to_inf,-0.000715_to_0.00101,-inf_to_0.037175,-0.496555_to_-0.00017,-inf_to_0.04144,-0.96809_to_-0.0092,0.000125_to_0.994855,0.003785_to_0.95098,-0.96648_to_0.86022,0.06779_to_0.997,-0.969765_to_0.87076,-0.12627_to_0.239955,-0.554585_to_0.652535,All,-0.00197_to_0.00143,-inf_to_0.478305,-0.57299_to_0.591395,0.01567_to_0.35474,-0.00027_to_0.001845,All,-0.79667_to_0.99361,-inf_to_0.132415,-0.96798_to_0.923655,-0.94837_to_0.930305,b
-0.90693_to_0.975495,0.07206_to_0.99888,-0.903245_to_-0.000375,0.05561_to_inf,-0.987455_to_0.89747,0.3303_to_0.999495,-0.98148_to_0.80245,-inf_to_0.545945,All,0.998505_to_inf,0.5_to_inf,-0.217515_to_-0.000715,0.037175_to_0.999995,-0.496555_to_-0.00017,0.97434_to_inf,0.18657_to_0.999665,0.000125_to_0.994855,-0.974115_to_-3e-05,-0.96648_to_0.86022,0.06779_to_0.997,-0.969765_to_0.87076,0.239955_to_0.99914,-0.554585_to_0.652535,All,-0.90517_to_-0.00197,0.478305_to_0.9991,-0.57299_to_0.591395,0.35474_to_0.998725,-0.56293_to_-0.00027,All,-0.79667_to_0.99361,0.132415_to_0.995285,-0.96798_to_0.923655,-0.94837_to_0.930305,g
-0.90693_to_0.975495,-1.5e-05_to_0.07206,-0.903245_to_-0.000375,0.05561_to_inf,-0.987455_to_0.89747,0.999495_to_inf,-0.98148_to_0.80245,0.999945_to_inf,All,0.998505_to_inf,0.5_to_inf,0.953815_to_inf,-inf_to_0.037175,0.74685_to_inf,-inf_to_0.04144,-0.96809_to_-0.0092,0.000125_to_0.994855,0.003785_to_0.95098,-inf_to_-0.96648,0.997_to_inf,-0.969765_to_0.87076,0.239955_to_0.99914,-0.554585_to_0.652535,All,0.00143_to_0.96841,-inf_to_0.478305,-0.57299_to_0.591395,0.01567_to_0.35474,0.001845_to_0.981525,All,-0.79667_to_0.99361,0.132415_to_0.995285,-0.96798_to_0.923655,-0.94837_to_0.930305,b
-0.90693_to_0.975495,0.07206_to_0.99888,-0.903245_to_-0.000375,0.05561_to_inf,-0.987455_to_0.89747,-inf_to_0.3303,-0.98148_to_0.80245,-inf_to_0.545945,All,0.998505_to_inf,0.5_to_inf,0.00101_to_0.953815,0.037175_to_0.999995,0.007725_to_0.74685,0.97434_to_inf,0.18657_to_0.999665,0.000125_to_0.994855,-0.974115_to_-3e-05,-0.96648_to_0.86022,0.06779_to_0.997,-0.969765_to_0.87076,0.239955_to_0.99914,-0.554585_to_0.652535,All,-0.90517_to_-0.00197,0.478305_to_0.9991,-0.57299_to_0.591395,0.35474_to_0.998725,-0.56293_to_-0.00027,All,-0.79667_to_0.99361,0.132415_to_0.995285,-0.96798_to_0.923655,-0.94837_to_0.930305,g
-0.90693_to_0.975495,-1.5e-05_to_0.07206,-0.000375_to_0.001505,-0.036395_to_0.05561,0.89747_to_inf,-inf_to_0.3303,0.80245_to_inf,0.999945_to_inf,All,-inf_to_0.19028,-inf_to_0.5,-inf_to_-0.79531,-inf_to_0.037175,0.74685_to_inf,0.97434_to_inf,0.999665_to_inf,-4e-05_to_0.000125,-3e-05_to_0.003785,-inf_to_-0.96648,-inf_to_-0.91183,-inf_to_-0.969765,-0.12627_to_0.239955,0.97565_to_inf,All,-0.00197_to_0.00143,0.9991_to_inf,-0.57299_to_0.591395,0.998725_to_inf,-inf_to_-0.56293,All,-inf_to_-0.79667,-inf_to_0.132415,-0.96798_to_0.923655,0.930305_to_inf,b
-0.90693_to_0.975495,0.07206_to_0.99888,-0.903245_to_-0.000375,0.05561_to_inf,-0.987455_to_0.89747,-inf_to_0.3303,-0.98148_to_0.80245,-inf_to_0.545945,All,0.73947_to_0.998505,0.5_to_inf,-0.217515_to_-0.000715,0.037175_to_0.999995,-0.496555_to_-0.00017,0.418075_to_0.97434,0.18657_to_0.999665,-0.959515_to_-4e-05,-0.974115_to_-3e-05,-0.96648_to_0.86022,-0.91183_to_-9e-05,-0.969765_to_0.87076,0.239955_to_0.99914,-0.554585_to_0.652535,All,-0.90517_to_-0.00197,0.478305_to_0.9991,-0.57299_to_0.591395,0.35474_to_0.998725,-0.56293_to_-0.00027,All,-0.79667_to_0.99361,-inf_to_0.132415,-0.96798_to_0.923655,-0.94837_to_0.930305,g
-0.90693_to_0.975495,0.07206_to_0.99888,0.001505_to_0.994515,-0.704705_to_-0.036395,-0.987455_to_0.89747,0.3303_to_0.999495,-0.98148_to_0.80245,0.545945_to_0.999945,All,0.73947_to_0.998505,0.5_to_inf,0.00101_to_0.953815,0.037175_to_0.999995,0.007725_to_0.74685,0.418075_to_0.97434,0.18657_to_0.999665,-0.959515_to_-4e-05,0.003785_to_0.95098,-0.96648_to_0.86022,0.06779_to_0.997,-0.969765_to_0.87076,-0.98825_to_-0.12627,-0.554585_to_0.652535,All,-0.90517_to_-0.00197,-inf_to_0.478305,0.591395_to_0.9891,-0.96941_to_-0.076515,0.001845_to_0.981525,All,-0.79667_to_0.99361,0.132415_to_0.995285,-0.96798_to_0.923655,-0.94837_to_0.930305,g
0.975495_to_inf,-1.5e-05_to_0.07206,-inf_to_-0.903245,-inf_to_-0.704705,-inf_to_-0.987455,-inf_to_0.3303,-inf_to_-0.98148,0.999945_to_inf,All,0.998505_to_inf,0.5_to_inf,-0.000715_to_0.00101,0.999995_to_inf,0.74685_to_inf,-inf_to_0.04144,0.999665_to_inf,-4e-05_to_0.000125,-3e-05_to_0.003785,0.86022_to_inf,-inf_to_-0.91183,0.87076_to_inf,-0.12627_to_0.239955,-inf_to_-0.554585,All,-0.00197_to_0.00143,0.9991_to_inf,-inf_to_-0.57299,0.998725_to_inf,0.981525_to_inf,All,-inf_to_-0.79667,-inf_to_0.132415,-0.96798_to_0.923655,0.930305_to_inf,b
-0.90693_to_0.975495,-inf_to_-0.957365,0.994515_to_inf,-0.704705_to_-0.036395,-0.987455_to_0.89747,-inf_to_0.3303,-inf_to_-0.98148,-inf_to_0.545945,All,0.998505_to_inf,0.5_to_inf,0.953815_to_inf,0.037175_to_0.999995,0.007725_to_0.74685,0.97434_to_inf,-inf_to_-0.96809,0.994855_to_inf,-0.974115_to_-3e-05,-inf_to_-0.96648,0.997_to_inf,-inf_to_-0.969765,-inf_to_-0.98825,0.97565_to_inf,All,0.96841_to_inf,-inf_to_0.478305,0.9891_to_inf,-0.076515_to_0.01567,0.981525_to_inf,All,-0.79667_to_0.99361,-inf_to_0.132415,-0.96798_to_0.923655,-inf_to_-0.94837,g
-inf_to_-0.90693,-inf_to_-0.957365,-0.000375_to_0.001505,-inf_to_-0.704705,-0.987455_to_0.89747,0.999495_to_inf,-inf_to_-0.98148,0.999945_to_inf,All,-inf_to_0.19028,-inf_to_0.5,-inf_to_-0.79531,-inf_to_0.037175,0.74685_to_inf,-inf_to_0.04144,-0.0092_to_0.18657,-4e-05_to_0.000125,-3e-05_to_0.003785,0.86022_to_inf,0.997_to_inf,0.87076_to_inf,-inf_to_-0.98825,-inf_to_-0.554585,All,0.96841_to_inf,0.9991_to_inf,0.9891_to_inf,-inf_to_-0.96941,-inf_to_-0.56293,All,-0.79667_to_0.99361,0.995285_to_inf,0.923655_to_inf,-inf_to_-0.94837,b
-0.90693_to_0.975495,0.99888_to_inf,0.001505_to_0.994515,0.05561_to_inf,0.89747_to_inf,0.999495_to_inf,0.80245_to_inf,0.999945_to_inf,All,0.998505_to_inf,0.5_to_inf,0.00101_to_0.953815,0.999995_to_inf,0.007725_to_0.74685,0.97434_to_inf,0.999665_to_inf,0.994855_to_inf,0.95098_to_inf,0.86022_to_inf,0.997_to_inf,0.87076_to_inf,0.99914_to_inf,-0.554585_to_0.652535,All,0.00143_to_0.96841,0.9991_to_inf,-0.57299_to_0.591395,0.998725_to_inf,0.001845_to_0.981525,All,0.99361_to_inf,0.995285_to_inf,-0.96798_to_0.923655,-0.94837_to_0.930305,g
-inf_to_-0.90693,-1.5e-05_to_0.07206,-0.000375_to_0.001505,-0.036395_to_0.05561,0.89747_to_inf,0.999495_to_inf,-inf_to_-0.98148,0.999945_to_inf,All,-inf_to_0.19028,-inf_to_0.5,-0.000715_to_0.00101,-inf_to_0.037175,-inf_to_-0.496555,-inf_to_0.04144,0.999665_to_inf,-4e-05_to_0.000125,-3e-05_to_0.003785,-inf_to_-0.96648,-9e-05_to_0.06779,-0.969765_to_0.87076,0.99914_to_inf,-0.554585_to_0.652535,All,-inf_to_-0.90517,-inf_to_0.478305,-0.57299_to_0.591395,-0.076515_to_0.01567,-0.00027_to_0.001845,All,-0.79667_to_0.99361,-inf_to_0.132415,-0.96798_to_0.923655,-0.94837_to_0.930305,b
-0.90693_to_0.975495,0.07206_to_0.99888,-0.903245_to_-0.000375,0.05561_to_inf,-0.987455_to_0.89747,-inf_to_0.3303,-0.98148_to_0.80245,-inf_to_0.545945,All,0.19028_to_0.73947,0.5_to_inf,-0.217515_to_-0.000715,-inf_to_0.037175,-0.496555_to_-0.00017,0.418075_to_0.97434,-0.0092_to_0.18657,0.000125_to_0.994855,-0.974115_to_-3e-05,-0.96648_to_0.86022,-0.91183_to_-9e-05,-0.969765_to_0.87076,-0.12627_to_0.239955,-0.554585_to_0.652535,All,-0.90517_to_-0.00197,-inf_to_0.478305,-0.57299_to_0.591395,0.01567_to_0.35474,-0.56293_to_-0.00027,All,-0.79667_to_0.99361,-inf_to_0.132415,-0.96798_to_0.923655,-0.94837_to_0.930305,g
-0.90693_to_0.975495,-0.957365_to_-1.5e-05,-0.000375_to_0.001505,-0.036395_to_0.05561,0.89747_to_inf,-inf_to_0.3303,-0.98148_to_0.80245,-inf_to_0.545945,All,-inf_to_0.19028,0.5_to_inf,-0.000715_to_0.00101,-inf_to_0.037175,-0.00017_to_0.007725,-inf_to_0.04144,-0.96809_to_-0.0092,-0.959515_to_-4e-05,-0.974115_to_-3e-05,-0.96648_to_0.86022,-0.91183_to_-9e-05,-0.969765_to_0.87076,-0.12627_to_0.239955,-0.554585_to_0.652535,All,-0.00197_to_0.00143,0.9991_to_inf,-0.57299_to_0.591395,0.01567_to_0.35474,-0.56293_to_-0.00027,All,-0.79667_to_0.99361,-inf_to_0.132415,-0.96798_to_0.923655,-inf_to_-0.94837,b
-0.90693_to_0.975495,0.07206_to_0.99888,0.001505_to_0.994515,0.05561_to_inf,-0.987455_to_0.89747,0.3303_to_0.999495,-0.98148_to_0.80245,-inf_to_0.545945,All,0.998505_to_inf,0.5_to_inf,0.00101_to_0.953815,0.037175_to_0.999995,0.007725_to_0.74685,0.97434_to_inf,0.18657_to_0.999665,0.000125_to_0.994855,0.003785_to_0.95098,-0.96648_to_0.86022,0.06779_to_0.997,-0.969765_to_0.87076,0.239955_to_0.99914,-0.554585_to_0.652535,All,0.00143_to_0.96841,0.478305_to_0.9991,-0.57299_to_0.591395,0.35474_to_0.998725,0.001845_to_0.981525,All,-0.79667_to_0.99361,0.132415_to_0.995285,-0.96798_to_0.923655,-0.94837_to_0.930305,g
0.975495_to_inf,0.07206_to_0.99888,-inf_to_-0.903245,0.05561_to_inf,-inf_to_-0.987455,0.3303_to_0.999495,-0.98148_to_0.80245,0.999945_to_inf,All,0.998505_to_inf,0.5_to_inf,-inf_to_-0.79531,-inf_to_0.037175,-0.496555_to_-0.00017,-inf_to_0.04144,-inf_to_-0.96809,-inf_to_-0.959515,0.003785_to_0.95098,0.86022_to_inf,0.997_to_inf,-0.969765_to_0.87076,-inf_to_-0.98825,-inf_to_-0.554585,All,0.96841_to_inf,0.478305_to_0.9991,-0.57299_to_0.591395,-inf_to_-0.96941,0.001845_to_0.981525,All,0.99361_to_inf,-inf_to_0.132415,-inf_to_-0.96798,-0.94837_to_0.930305,b
-0.90693_to_0.975495,0.07206_to_0.99888,-0.903245_to_-0.000375,0.05561_to_inf,-0.987455_to_0.89747,0.3303_to_0.999495,-0.98148_to_0.80245,0.545945_to_0.999945,All,0.73947_to_0.998505,0.5_to_inf,0.00101_to_0.953815,0.037175_to_0.999995,-0.496555_to_-0.00017,0.418075_to_0.97434,0.18657_to_0.999665,0.000125_to_0.994855,-0.974115_to_-3e-05,-0.96648_to_0.86022,0.06779_to_0.997,-0.969765_to_0.87076,0.239955_to_0.99914,-0.554585_to_0.652535,All,0.00143_to_0.96841,0.478305_to_0.9991,-0.57299_to_0.591395,0.35474_to_0.998725,0.001845_to_0.981525,All,-0.79667_to_0.99361,0.132415_to_0.995285,-0.96798_to_0.923655,-0.94837_to_0.930305,g
0.975495_to_inf,0.99888_to_inf,0.994515_to_inf,0.05561_to_inf,-inf_to_-0.987455,0.999495_to_inf,0.80245_to_inf,0.999945_to_inf,All,0.998505_to_inf,0.5_to_inf,0.953815_to_inf,0.999995_to_inf,-inf_to_-0.496555,0.97434_to_inf,0.999665_to_inf,0.994855_to_inf,0.95098_to_inf,-0.96648_to_0.86022,0.997_to_inf,0.87076_to_inf,0.99914_to_inf,0.97565_to_inf,All,0.96841_to_inf,0.9991_to_inf,-0.57299_to_0.591395,0.998725_to_inf,0.981525_to_inf,All,-0.79667_to_0.99361,-inf_to_0.132415,0.923655_to_inf,-0.94837_to_0.930305,b
-0.90693_to_0.975495,0.07206_to_0.99888,-0.903245_to_-0.000375,0.05561_to_inf,-0.987455_to_0.89747,0.999495_to_inf,-0.98148_to_0.80245,0.545945_to_0.999945,All,0.998505_to_inf,0.5_to_inf,-0.79531_to_-0.217515,0.999995_to_inf,0.007725_to_0.74685,0.97434_to_inf,0.18657_to_0.999665,0.000125_to_0.994855,-0.974115_to_-3e-05,-0.96648_to_0.86022,0.06779_to_0.997,-0.969765_to_0.87076,0.99914_to_inf,-0.554585_to_0.652535,All,0.00143_to_0.96841,0.9991_to_inf,-0.57299_to_0.591395,0.35474_to_0.998725,0.001845_to_0.981525,All,-0.79667_to_0.99361,0.995285_to_inf,-0.96798_to_0.923655,-0.94837_to_0.930305,g
-0.90693_to_0.975495,0.99888_to_inf,-0.903245_to_-0.000375,0.05561_to_inf,-0.987455_to_0.89747,0.999495_to_inf,-0.98148_to_0.80245,0.999945_to_inf,All,0.73947_to_0.998505,0.5_to_inf,-0.217515_to_-0.000715,0.999995_to_inf,0.007725_to_0.74685,0.418075_to_0.97434,0.18657_to_0.999665,0.994855_to_inf,-0.974115_to_-3e-05,-0.96648_to_0.86022,0.06779_to_0.997,-0.969765_to_0.87076,0.239955_to_0.99914,-0.554585_to_0.652535,All,0.00143_to_0.96841,0.478305_to_0.9991,-0.57299_to_0.591395,0.35474_to_0.998725,0.001845_to_0.981525,All,-0.79667_to_0.99361,0.995285_to_inf,-0.96798_to_0.923655,-0.94837_to_0.930305,g
-inf_to_-0.90693,0.99888_to_inf,-0.000375_to_0.001505,-inf_to_-0.704705,-inf_to_-0.987455,0.999495_to_inf,0.80245_to_inf,-inf_to_0.545945,All,-inf_to_0.19028,0.5_to_inf,-0.000715_to_0.00101,-inf_to_0.037175,-0.00017_to_0.007725,-inf_to_0.04144,-0.96809_to_-0.0092,-4e-05_to_0.000125,-3e-05_to_0.003785,-0.96648_to_0.86022,0.997_to_inf,0.87076_to_inf,-0.12627_to_0.239955,-inf_to_-0.554585,All,-0.00197_to_0.00143,-inf_to_0.478305,-inf_to_-0.57299,0.998725_to_inf,-0.00027_to_0.001845,All,-inf_to_-0.79667,-inf_to_0.132415,-inf_to_-0.96798,-inf_to_-0.94837,b
-inf_to_-0.90693,0.99888_to_inf,0.994515_to_inf,-inf_to_-0.704705,-0.987455_to_0.89747,0.999495_to_inf,-inf_to_-0.98148,-inf_to_0.545945,All,-inf_to_0.19028,-inf_to_0.5,0.953815_to_inf,0.999995_to_inf,-0.00017_to_0.007725,-inf_to_0.04144,-0.0092_to_0.18657,-4e-05_to_0.000125,-3e-05_to_0.003785,-inf_to_-0.96648,-9e-05_to_0.06779,-inf_to_-0.969765,-inf_to_-0.98825,-inf_to_-0.554585,All,-0.90517_to_-0.00197,-inf_to_0.478305,-inf_to_-0.57299,-inf_to_-0.96941,-0.00027_to_0.001845,All,-inf_to_-0.79667,0.995285_to_inf,-inf_to_-0.96798,-0.94837_to_0.930305,b
-0.90693_to_0.975495,0.07206_to_0.99888,0.001505_to_0.994515,0.05561_to_inf,-0.987455_to_0.89747,0.3303_to_0.999495,-0.98148_to_0.80245,0.545945_to_0.999945,All,0.73947_to_0.998505,0.5_to_inf,0.00101_to_0.953815,0.037175_to_0.999995,-0.496555_to_-0.00017,0.418075_to_0.97434,0.18657_to_0.999665,0.000125_to_0.994855,0.003785_to_0.95098,-0.96648_to_0.86022,0.06779_to_0.997,-0.969765_to_0.87076,0.239955_to_0.99914,-0.554585_to_0.652535,All,0.00143_to_0.96841,0.478305_to_0.9991,-0.57299_to_0.591395,0.35474_to_0.998725,-0.56293_to_-0.00027,All,-0.79667_to_0.99361,0.132415_to_0.995285,-0.96798_to_0.923655,-0.94837_to_0.930305,g
0.975495_to_inf,-0.957365_to_-1.5e-05,0.994515_to_inf,-inf_to_-0.704705,-inf_to_-0.987455,0.999495_to_inf,-inf_to_-0.98148,-inf_to_0.545945,All,-inf_to_0.19028,0.5_to_inf,0.00101_to_0.953815,0.037175_to_0.999995,0.74685_to_inf,-inf_to_0.04144,-inf_to_-0.96809,0.000125_to_0.994855,0.95098_to_inf,-0.96648_to_0.86022,0.997_to_inf,-0.969765_to_0.87076,-inf_to_-0.98825,0.97565_to_inf,All,-0.90517_to_-0.00197,-inf_to_0.478305,0.9891_to_inf,0.998725_to_inf,-inf_to_-0.56293,All,-inf_to_-0.79667,-inf_to_0.132415,-inf_to_-0.96798,-inf_to_-0.94837,b
-0.90693_to_0.975495,0.07206_to_0.99888,0.001505_to_0.994515,0.05561_to_inf,-0.987455_to_0.89747,0.3303_to_0.999495,-0.98148_to_0.80245,0.545945_to_0.999945,All,0.19028_to_0.73947,0.5_to_inf,0.00101_to_0.953815,0.037175_to_0.999995,-0.496555_to_-0.00017,0.418075_to_0.97434,0.18657_to_0.999665,0.000125_to_0.994855,0.003785_to_0.95098,-0.96648_to_0.86022,0.06779_to_0.997,-0.969765_to_0.87076,0.239955_to_0.99914,-0.554585_to_0.652535,All,0.00143_to_0.96841,0.478305_to_0.9991,-0.57299_to_0.591395,0.35474_to_0.998725,-0.00027_to_0.001845,All,-0.79667_to_0.99361,0.132415_to_0.995285,-0.96798_to_0.923655,-0.94837_to_0.930305,g
-0.90693_to_0.975495,-0.957365_to_-1.5e-05,0.994515_to_inf,-0.036395_to_0.05561,-0.987455_to_0.89747,-inf_to_0.3303,-0.98148_to_0.80245,-inf_to_0.545945,All,-inf_to_0.19028,0.5_to_inf,-0.000715_to_0.00101,-inf_to_0.037175,-inf_to_-0.496555,-inf_to_0.04144,-0.96809_to_-0.0092,-4e-05_to_0.000125,-3e-05_to_0.003785,-0.96648_to_0.86022,-9e-05_to_0.06779,-0.969765_to_0.87076,-0.12627_to_0.239955,-0.554585_to_0.652535,All,-0.00197_to_0.00143,-inf_to_0.478305,-0.57299_to_0.591395,-0.076515_to_0.01567,-0.00027_to_0.001845,All,-0.79667_to_0.99361,-inf_to_0.132415,-0.96798_to_0.923655,-0.94837_to_0.930305,b
-0.90693_to_0.975495,0.07206_to_0.99888,0.001505_to_0.994515,0.05561_to_inf,-0.987455_to_0.89747,0.999495_to_inf,-0.98148_to_0.80245,0.999945_to_inf,All,0.998505_to_inf,0.5_to_inf,0.00101_to_0.953815,0.037175_to_0.999995,0.007725_to_0.74685,0.97434_to_inf,0.999665_to_inf,0.000125_to_0.994855,0.003785_to_0.95098,-0.96648_to_0.86022,0.997_to_inf,-0.969765_to_0.87076,0.239955_to_0.99914,-0.554585_to_0.652535,All,0.00143_to_0.96841,0.9991_to_inf,-0.57299_to_0.591395,0.35474_to_0.998725,-0.00027_to_0.001845,All,-0.79667_to_0.99361,0.995285_to_inf,-0.96798_to_0.923655,-0.94837_to_0.930305,g
-0.90693_to_0.975495,-inf_to_-0.957365,0.994515_to_inf,-0.036395_to_0.05561,-inf_to_-0.987455,-inf_to_0.3303,0.80245_to_inf,0.999945_to_inf,All,-inf_to_0.19028,-inf_to_0.5,-inf_to_-0.79531,-inf_to_0.037175,-inf_to_-0.496555,0.97434_to_inf,0.999665_to_inf,-4e-05_to_0.000125,-3e-05_to_0.003785,0.86022_to_inf,-9e-05_to_0.06779,-0.969765_to_0.87076,-0.12627_to_0.239955,-inf_to_-0.554585,All,-0.00197_to_0.00143,0.9991_to_inf,-0.57299_to_0.591395,0.998725_to_inf,-inf_to_-0.56293,All,-0.79667_to_0.99361,0.995285_to_inf,0.923655_to_inf,-0.94837_to_0.930305,b
-0.90693_to_0.975495,0.07206_to_0.99888,0.001505_to_0.994515,0.05561_to_inf,-0.987455_to_0.89747,0.3303_to_0.999495,-0.98148_to_0.80245,-inf_to_0.545945,All,0.19028_to_0.73947,0.5_to_inf,0.00101_to_0.953815,0.037175_to_0.999995,0.007725_to_0.74685,0.418075_to_0.97434,0.18657_to_0.999665,0.000125_to_0.994855,-0.974115_to_-3e-05,-0.96648_to_0.86022,0.06779_to_0.997,-0.969765_to_0.87076,0.239955_to_0.99914,-0.554585_to_0.652535,All,-0.90517_to_-0.00197,-inf_to_0.478305,-0.57299_to_0.591395,0.35474_to_0.998725,-0.56293_to_-0.00027,All,-0.79667_to_0.99361,0.132415_to_0.995285,-0.96798_to_0.923655,-0.94837_to_0.930305,g
-0.90693_to_0.975495,-inf_to_-0.957365,0.001505_to_0.994515,-inf_to_-0.704705,-0.987455_to_0.89747,-inf_to_0.3303,-0.98148_to_0.80245,0.999945_to_inf,All,-inf_to_0.19028,0.5_to_inf,-0.000715_to_0.00101,-inf_to_0.037175,-inf_to_-0.496555,-inf_to_0.04144,-0.0092_to_0.18657,-4e-05_to_0.000125,-3e-05_to_0.003785,-0.96648_to_0.86022,-9e-05_to_0.06779,-0.969765_to_0.87076,-0.12627_to_0.239955,-0.554585_to_0.652535,All,-0.00197_to_0.00143,-inf_to_0.478305,0.9891_to_inf,-0.076515_to_0.01567,-0.00027_to_0.001845,All,-0.79667_to_0.99361,-inf_to_0.132415,-inf_to_-0.96798,-0.94837_to_0.930305,b
-0.90693_to_0.975495,0.99888_to_inf,0.001505_to_0.994515,0.05561_to_inf,-0.987455_to_0.89747,-inf_to_0.3303,-0.98148_to_0.80245,0.999945_to_inf,All,0.998505_to_inf,0.5_to_inf,0.00101_to_0.953815,0.999995_to_inf,0.007725_to_0.74685,0.97434_to_inf,0.999665_to_inf,0.994855_to_inf,-3e-05_to_0.003785,-0.96648_to_0.86022,0.997_to_inf,-0.969765_to_0.87076,0.99914_to_inf,-0.554585_to_0.652535,All,-0.00197_to_0.00143,0.478305_to_0.9991,-0.57299_to_0.591395,0.998725_to_inf,-0.56293_to_-0.00027,All,-0.79667_to_0.99361,0.995285_to_inf,-0.96798_to_0.923655,-0.94837_to_0.930305,g
-inf_to_-0.90693,0.99888_to_inf,0.994515_to_inf,0.05561_to_inf,0.89747_to_inf,0.999495_to_inf,-inf_to_-0.98148,0.999945_to_inf,All,0.998505_to_inf,-inf_to_0.5,-inf_to_-0.79531,0.999995_to_inf,0.74685_to_inf,0.97434_to_inf,0.999665_to_inf,0.994855_to_inf,0.95098_to_inf,0.86022_to_inf,0.997_to_inf,0.87076_to_inf,0.99914_to_inf,-inf_to_-0.554585,All,0.96841_to_inf,0.9991_to_inf,0.9891_to_inf,0.998725_to_inf,0.981525_to_inf,All,-inf_to_-0.79667,0.995285_to_inf,0.923655_to_inf,0.930305_to_inf,b
-0.90693_to_0.975495,0.07206_to_0.99888,0.001505_to_0.994515,-0.704705_to_-0.036395,-0.987455_to_0.89747,0.3303_to_0.999495,-0.98148_to_0.80245,0.545945_to_0.999945,All,0.73947_to_0.998505,0.5_to_inf,0.00101_to_0.953815,0.037175_to_0.999995,0.007725_to_0.74685,0.418075_to_0.97434,0.18657_to_0.999665,-0.959515_to_-4e-05,0.003785_to_0.95098,-0.96648_to_0.86022,0.06779_to_0.997,-0.969765_to_0.87076,-0.98825_to_-0.12627,-0.554585_to_0.652535,All,-0.90517_to_-0.00197,-inf_to_0.478305,0.591395_to_0.9891,-0.96941_to_-0.076515,0.001845_to_0.981525,All,-0.79667_to_0.99361,0.132415_to_0.995285,-0.96798_to_0.923655,-0.94837_to_0.930305,g
0.975495_to_inf,0.99888_to_inf,-inf_to_-0.903245,0.05561_to_inf,-inf_to_-0.987455,0.999495_to_inf,0.80245_to_inf,0.999945_to_inf,All,0.998505_to_inf,-inf_to_0.5,0.953815_to_inf,0.999995_to_inf,-inf_to_-0.496555,0.97434_to_inf,0.999665_to_inf,0.994855_to_inf,-inf_to_-0.974115,0.86022_to_inf,0.997_to_inf,0.87076_to_inf,0.99914_to_inf,-inf_to_-0.554585,All,-inf_to_-0.90517,0.9991_to_inf,0.9891_to_inf,0.998725_to_inf,-inf_to_-0.56293,All,0.99361_to_inf,0.995285_to_inf,0.923655_to_inf,0.930305_to_inf,b
